시트,분류1,분류2,한글명,태그,NSFW,비고
태그기본,배경,무늬,미국 국기 무늬,american_flag,FALSE,
태그기본,배경,무늬,아가일 무늬,argyle,FALSE,
태그기본,배경,무늬,위장 무늬,camouflage,FALSE,
태그기본,배경,무늬,체크 무늬,checkered,FALSE,
태그기본,배경,무늬,사선 줄무늬,diagonal-striped,FALSE,
태그기본,배경,무늬,격자 무늬,plaid,FALSE,
태그기본,배경,무늬,물방울 무늬,polka_dot,FALSE,
태그기본,배경,무늬,인쇄한 무늬,print,FALSE,
태그기본,배경,무늬,무지개 무늬,rainbow,FALSE,
태그기본,배경,무늬,딸기 무늬,strawberry,FALSE,
태그기본,배경,무늬,줄무늬,striped,FALSE,
태그기본,배경,무늬,세로 줄무늬,vertical-striped,FALSE,
태그기본,배경,위치,뒤쪽 배경,background,FALSE,
태그기본,배경,위치,앞쪽 배경,foreground,FALSE,
태그기본,배경,컬러,보라색,Purple,FALSE,
태그기본,배경,컬러,빨강색,Red,FALSE,
태그기본,배경,컬러,검은색,black,FALSE,
태그기본,배경,컬러,파란색,blue,FALSE,
태그기본,배경,컬러,갈색,brown,FALSE,
태그기본,배경,컬러,내부 착색,colored_inner,FALSE,
태그기본,배경,컬러,황금색,golden,FALSE,
태그기본,배경,컬러,그라데이션,gradient,FALSE,
태그기본,배경,컬러,회색,gray,FALSE,
태그기본,배경,컬러,초록색,green,FALSE,
태그기본,배경,컬러,연두색,light_green,FALSE,
태그기본,배경,컬러,여러 색깔,multicolored,FALSE,
태그기본,배경,컬러,주황색,orange,FALSE,
태그기본,배경,컬러,분홍색,pink,FALSE,
태그기본,배경,컬러,무지개색,rainbow,FALSE,
태그기본,배경,컬러,하늘색,sky_blue,FALSE,
태그기본,배경,컬러,색깔 분열,split-color,FALSE,
태그기본,배경,컬러,줄무늬,streaked,FALSE,
태그기본,배경,컬러,투 톤,two-tone,FALSE,
태그기본,배경,컬러,흰색,white,FALSE,
태그기본,배경,컬러,노란색,yellow,FALSE,
태그기본,연출,액션,역동적인 각도,dynamic_angle,FALSE,
태그기본,연출,액션,역동적인 포즈,dynamic_pose,FALSE,
태그기본,연출,컷,1컷,1koma,FALSE,
태그기본,연출,컷,2컷,2koma,FALSE,
태그기본,연출,컷,3컷,3koma,FALSE,
태그기본,연출,컷,4컷,4koma,FALSE,
태그기본,연출,컷,5컷,5koma,FALSE,
태그기본,연출,컷,테두리 없는 컷,borderless_panels,FALSE,
태그기본,연출,컷,추가적인 컷씬,cross-section,FALSE,
태그기본,연출,컷,왼쪽에서 오른쪽 컷 진행,left-to-right_manga,FALSE,
태그기본,연출,컷,다중 4컷,multiple_4koma,FALSE,
태그기본,연출,컷,오른쪽에서 왼쪽 컷 진행,right-to-left_comic,FALSE,
태그기본,연출,컷,상하반전,upside-down,FALSE,
태그기본,연출,효과,반짝이는 입자 효과,*_light_particle,FALSE,
태그기본,연출,효과,캐릭터 주변을 휘몰아치는 효과,*_swirling_around_the_character,FALSE,
태그기본,연출,효과,파도 효과,Wave*_effect,FALSE,
태그기본,연출,효과,바람 효과,Wind*_effect,FALSE,
태그기본,연출,효과,블러 효과,effect*_blur,FALSE,
태그기본,연출,효과,광택 효과,effect*_glossy,FALSE,
태그기본,연출,효과,광선 효과,effect*_light_rays,FALSE,
태그기본,연출,효과,모션 블러 효과,effect*_motion_blur,FALSE,
태그기본,연출,효과,집중선 효과,effect*_speed_lines,FALSE,
태그기본,연출,효과,떨림 효과*,effect*_trembling,FALSE,
태그기본,연출,효과,불 효과,fire*_effect,FALSE,
태그기본,연출,효과,불이 휘몰아치는 효과,fire*_swirling_around_the_character,FALSE,
태그기본,연출,효과,화염 효과,flame*_effect,FALSE,
태그기본,연출,효과,보라색 입자가 반짝히는 효과,light*_Purple_particle,FALSE,
태그기본,연출,효과,빨강색 입자가 반짝히는 효과,light*_Red_particle,FALSE,
태그기본,연출,효과,검은색 입자가 반짝히는 효과,light*_black_particle,FALSE,
태그기본,연출,효과,파란색 입자가 반짝히는 효과,light*_blue_particle,FALSE,
태그기본,연출,효과,갈색 입자가 반짝히는 효과,light*_brown_particle,FALSE,
태그기본,연출,효과,황금색 입자가 반짝히는 효과,light*_golden_particle,FALSE,
태그기본,연출,효과,회색 입자가 반짝히는 효과,light*_gray_particle,FALSE,
태그기본,연출,효과,초록색 입자가 반짝히는 효과,light*_green_particle,FALSE,
태그기본,연출,효과,연두색 입자가 반짝히는 효과,light*_light_green_particle,FALSE,
태그기본,연출,효과,주황색 입자가 반짝히는 효과,light*_orange_particle,FALSE,
태그기본,연출,효과,분홍색 입자가 반짝히는 효과,light*_pink_particle,FALSE,
태그기본,연출,효과,무지개색 입자가 반짝히는 효과,light*_rainbow_particle,FALSE,
태그기본,연출,효과,하늘색 입자가 반짝히는 효과,light*_sky_blue_particle,FALSE,
태그기본,연출,효과,흰색 입자가 반짝히는 효과,light*_white_particle,FALSE,
태그기본,연출,효과,노란색 입자가 반짝히는 효과,light*_yellow_particle,FALSE,
태그기본,연출,효과,번개가 휘몰아치는 효과,lighting*_swirling_around_the_character,FALSE,
태그기본,연출,효과,번개 효과,lightning*_effect,FALSE,
